"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","MSPB-1 Achievement Threshold","MSPB-1 Benchmark","MSPB-1 Baseline Rate","MSPB-1 Performance Rate","MSPB-1 Achievement Points","MSPB-1 Improvement Points","MSPB-1 Measure Score"
"2021","010001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",Houston,"0.987266","0.852083","0.990823","1.020251","0 out of 10","0 out of 9","0 out of 10"
"2021","010005",MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",Marshall,"0.987266","0.852083","1.011978","1.011867","0 out of 10","0 out of 9","0 out of 10"
"2021","010006",NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE",FLORENCE,AL,"35630",Lauderdale,"0.987266","0.852083","0.990700","1.016924","0 out of 10","0 out of 9","0 out of 10"
"2021","010007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",Covington,"0.987266","0.852083","1.084358","1.110418","0 out of 10","0 out of 9","0 out of 10"
"2021","010011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",Jefferson,"0.987266","0.852083","1.048820","1.029416","0 out of 10","0 out of 9","0 out of 10"
"2021","010012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DeKalb,"0.987266","0.852083","1.057363","0.977056","1 out of 10","3 out of 9","3 out of 10"
"2021","010016",SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH",ALABASTER,AL,"35007",Shelby,"0.987266","0.852083","1.031963","1.043276","0 out of 10","0 out of 9","0 out of 10"
"2021","010019",HELEN KELLER MEMORIAL HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,"35660",Colbert,"0.987266","0.852083","1.050180","1.089104","0 out of 10","0 out of 9","0 out of 10"
"2021","010021",DALE MEDICAL CENTER,"126 HOSPITAL AVE",OZARK,AL,"36360",Dale,"0.987266","0.852083","1.011343","1.073415","0 out of 10","0 out of 9","0 out of 10"
"2021","010023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",Montgomery,"0.987266","0.852083","1.030001","1.022220","0 out of 10","0 out of 9","0 out of 10"
"2021","010024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",Montgomery,"0.987266","0.852083","1.030719","1.028768","0 out of 10","0 out of 9","0 out of 10"
"2021","010029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",Lee,"0.987266","0.852083","0.921387","0.946375","3 out of 10","0 out of 9","3 out of 10"
"2021","010033",UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET",BIRMINGHAM,AL,"35233",Jefferson,"0.987266","0.852083","0.985203","0.976693","1 out of 10","0 out of 9","1 out of 10"
"2021","010034",COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD",TALLASSEE,AL,"36078",Elmore,"0.987266","0.852083","0.986714","0.843279","10 out of 10","9 out of 9","10 out of 10"
"2021","010035",CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157",CULLMAN,AL,"35058",Cullman,"0.987266","0.852083","0.981348","0.991098","0 out of 10","0 out of 9","0 out of 10"
"2021","010036",ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET",ANDALUSIA,AL,"36420",Covington,"0.987266","0.852083","0.920069","0.974433","1 out of 10","0 out of 9","1 out of 10"
"2021","010038",STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST",ANNISTON,AL,"36201",Calhoun,"0.987266","0.852083","0.970104","0.977482","1 out of 10","0 out of 9","1 out of 10"
"2021","010039",HUNTSVILLE HOSPITAL,"101 SIVLEY RD",HUNTSVILLE,AL,"35801",Madison,"0.987266","0.852083","1.016230","1.009971","0 out of 10","0 out of 9","0 out of 10"
"2021","010040",GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE",GADSDEN,AL,"35903",Etowah,"0.987266","0.852083","1.046936","1.049757","0 out of 10","0 out of 9","0 out of 10"
"2021","010045",FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH",FAYETTE,AL,"35555",Fayette,"0.987266","0.852083","0.924815","0.924763","5 out of 10","0 out of 9","5 out of 10"
"2021","010046",RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET",GADSDEN,AL,"35901",Etowah,"0.987266","0.852083","0.940973","0.941294","4 out of 10","0 out of 9","4 out of 10"
"2021","010049",MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET",ENTERPRISE,AL,"36330",Coffee,"0.987266","0.852083","0.979033","0.952116","3 out of 10","2 out of 9","3 out of 10"
"2021","010052",LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD",DADEVILLE,AL,"36853",Tallapoosa,"0.987266","0.852083","0.886189","1.036424","0 out of 10","0 out of 9","0 out of 10"
"2021","010055",FLOWERS HOSPITAL,"4370 WEST MAIN STREET",DOTHAN,AL,"36305",Houston,"0.987266","0.852083","1.053745","1.028246","0 out of 10","1 out of 9","1 out of 10"
"2021","010056",ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE",BIRMINGHAM,AL,"35205",Jefferson,"0.987266","0.852083","1.053499","1.039442","0 out of 10","0 out of 9","0 out of 10"
"2021","010061",HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD",SCOTTSBORO,AL,"35768",Jackson,"0.987266","0.852083","1.007099","1.009078","0 out of 10","0 out of 9","0 out of 10"
"2021","010062",WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE",GENEVA,AL,"36340",Geneva,"0.987266","0.852083","0.981149","0.973056","1 out of 10","0 out of 9","1 out of 10"
"2021","010065",RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280",ALEXANDER CITY,AL,"35010",Tallapoosa,"0.987266","0.852083","0.960168","0.989230","0 out of 10","0 out of 9","0 out of 10"
"2021","010069",MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST",EUFAULA,AL,"36027",Barbour,"0.987266","0.852083","0.956708","1.013255","0 out of 10","0 out of 9","0 out of 10"
"2021","010073",CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9    P O BOX 1270",ASHLAND,AL,"36251",Clay,"0.987266","0.852083","0.981317","0.971480","2 out of 10","0 out of 9","2 out of 10"
"2021","010078",NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET",ANNISTON,AL,"36207",Calhoun,"0.987266","0.852083","1.064170","1.029918","0 out of 10","1 out of 9","1 out of 10"
"2021","010079",ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET",ATHENS,AL,"35611",Limestone,"0.987266","0.852083","1.019142","0.963704","2 out of 10","3 out of 9","3 out of 10"
